date,year,month,month_name,quarter,day_of_week,week_number,is_weekend
2017-12-19,2017,12,December,4,Tuesday,51,False
2017-12-20,2017,12,December,4,Wednesday,51,False
2017-12-21,2017,12,December,4,Thursday,51,False
2017-12-22,2017,12,December,4,Friday,51,False
2017-12-23,2017,12,December,4,Saturday,51,True
2017-12-24,2017,12,December,4,Sunday,51,True
2017-12-25,2017,12,December,4,Monday,52,False
2017-12-26,2017,12,December,4,Tuesday,52,False
2017-12-27,2017,12,December,4,Wednesday,52,False
2017-12-28,2017,12,December,4,Thursday,52,False
2017-12-29,2017,12,December,4,Friday,52,False
2017-12-30,2017,12,December,4,Saturday,52,True
2017-12-31,2017,12,December,4,Sunday,52,True
2018-01-01,2018,1,January,1,Monday,1,False
2018-01-02,2018,1,January,1,Tuesday,1,False
2018-01-03,2018,1,January,1,Wednesday,1,False
2018-01-04,2018,1,January,1,Thursday,1,False
2018-01-05,2018,1,January,1,Friday,1,False
2018-01-06,2018,1,January,1,Saturday,1,True
2018-01-07,2018,1,January,1,Sunday,1,True
2018-01-08,2018,1,January,1,Monday,2,False
2018-01-09,2018,1,January,1,Tuesday,2,False
2018-01-10,2018,1,January,1,Wednesday,2,False
2018-01-11,2018,1,January,1,Thursday,2,False
2018-01-12,2018,1,January,1,Friday,2,False
2018-01-13,2018,1,January,1,Saturday,2,True
2018-01-14,2018,1,January,1,Sunday,2,True
2018-01-15,2018,1,January,1,Monday,3,False
2018-01-16,2018,1,January,1,Tuesday,3,False
2018-01-17,2018,1,January,1,Wednesday,3,False
2018-01-18,2018,1,January,1,Thursday,3,False
2018-01-19,2018,1,January,1,Friday,3,False
2018-01-20,2018,1,January,1,Saturday,3,True
2018-01-21,2018,1,January,1,Sunday,3,True
2018-01-22,2018,1,January,1,Monday,4,False
2018-01-23,2018,1,January,1,Tuesday,4,False
2018-01-24,2018,1,January,1,Wednesday,4,False
2018-01-25,2018,1,January,1,Thursday,4,False
2018-01-26,2018,1,January,1,Friday,4,False
2018-01-27,2018,1,January,1,Saturday,4,True
2018-01-28,2018,1,January,1,Sunday,4,True
